,cumulative_regret,elbo,kl_divergence,nll
0,-5.0,65443.00280761719,45150.013427734375,20292.989457845688
1,-10.0,51130.35168457031,44997.592712402344,6132.759083509445
2,-10.0,50388.3720703125,44943.47131347656,5444.9009256362915
3,-10.0,49376.340087890625,44836.58752441406,4539.752343177795
4,-5.0,51820.15026855469,44757.10168457031,7063.048450469971
5,-5.0,48176.28076171875,44667.656982421875,3508.623785018921
6,30.0,421769.3488769531,44607.000244140625,377162.3486328125
7,65.0,247293.529296875,44609.21923828125,202684.31008911133
8,70.0,67078.33801269531,44576.64434814453,22501.693572998047
9,70.0,60806.94500732422,44523.89294433594,16283.052368164062
10,70.0,58554.40753173828,44490.44464111328,14063.963022232056
11,105.0,142775.0526123047,44427.359802246094,98347.69282531738
12,105.0,65203.44885253906,44386.273498535156,20817.17534637451
13,105.0,59391.24639892578,44349.813049316406,15041.433452606201
14,105.0,60010.66296386719,44285.16064453125,15725.502326965332
15,140.0,102683.32263183594,44228.2578125,58455.0647354126
16,140.0,65158.706298828125,44182.27130126953,20976.43514251709
17,145.0,57034.992248535156,44145.66259765625,12889.329643249512
18,145.0,59889.899353027344,44073.72888183594,15816.17056274414
19,150.0,60565.467712402344,44021.874267578125,16543.593269348145
20,150.0,60398.648681640625,44008.50061035156,16390.14814376831
21,155.0,56498.59649658203,43937.68298339844,12560.913536071777
22,155.0,56103.22589111328,43873.420349121094,12229.805656433105
23,155.0,54515.42980957031,43803.77764892578,10711.652214050293
24,155.0,54647.45147705078,43765.056701660156,10882.3948097229
25,155.0,55119.95324707031,43691.49963378906,11428.453701019287
26,160.0,54650.627990722656,43660.49841308594,10990.12956237793
27,160.0,54671.498107910156,43571.81671142578,11099.681442260742
28,160.0,52352.1796875,43559.71728515625,8792.462619781494
29,165.0,53191.86053466797,43453.92266845703,9737.937942504883
30,165.0,51347.81280517578,43408.63604736328,7939.176898956299
31,170.0,51258.125915527344,43358.48352050781,7899.642177581787
32,170.0,51352.95489501953,43292.32580566406,8060.629026412964
33,165.0,51812.48974609375,43226.936279296875,8585.553609848022
34,165.0,52248.24591064453,43156.31970214844,9091.926420211792
35,165.0,50367.67028808594,43090.536071777344,7277.134166717529
36,165.0,50121.509765625,43039.51062011719,7081.999063491821
37,165.0,50471.532165527344,42963.990295410156,7507.541896820068
38,165.0,50006.28723144531,42881.52471923828,7124.762861251831
39,200.0,102694.2202758789,42813.94012451172,59880.280212402344
40,205.0,65369.70672607422,42777.60693359375,22592.099815368652
41,205.0,53589.729736328125,42674.512756347656,10915.217315673828
42,205.0,50548.51824951172,42651.854431152344,7896.664028167725
43,200.0,50125.11700439453,42572.72985839844,7552.387077331543
44,200.0,49018.715759277344,42503.866638183594,6514.848979949951
45,200.0,49818.86462402344,42448.28143310547,7370.583114624023
46,235.0,104013.19903564453,42395.81298828125,61617.38600540161
47,235.0,52873.943603515625,42339.18475341797,10534.759075164795
48,240.0,50311.61364746094,42291.886962890625,8019.726747512817
49,245.0,48870.108642578125,42208.41735839844,6661.691453933716
50,240.0,47919.75927734375,42154.000915527344,5765.758247375488
51,240.0,48464.48645019531,42086.179626464844,6378.306880950928
52,240.0,48211.63171386719,42023.68688964844,6187.944772720337
53,240.0,49844.638671875,41947.58038330078,7897.058277130127
54,245.0,48520.33026123047,41872.535217285156,6647.794931411743
55,245.0,46850.919677734375,41793.179138183594,5057.740528106689
56,245.0,47614.46905517578,41721.251525878906,5893.217595100403
57,250.0,47639.20037841797,41653.28259277344,5985.9178075790405
58,250.0,46525.66729736328,41577.81524658203,4947.852029800415
59,250.0,45866.96569824219,41520.3232421875,4346.642281532288
60,250.0,46281.39013671875,41451.80029296875,4829.589630126953
61,250.0,45817.17596435547,41378.50573730469,4438.670171737671
62,250.0,45781.0830078125,41286.473083496094,4494.610130310059
63,250.0,45720.638610839844,41206.390563964844,4514.248191833496
64,250.0,46353.895751953125,41121.07092285156,5232.824481964111
65,250.0,45557.43243408203,41041.26788330078,4516.164674758911
66,250.0,45197.450927734375,40963.74200439453,4233.708837509155
67,250.0,45270.6640625,40900.958557128906,4369.70538520813
68,250.0,44829.83660888672,40824.34118652344,4005.4952688217163
69,250.0,45216.8603515625,40735.01257324219,4481.847915649414
70,255.0,43938.493591308594,40651.205627441406,3287.287959575653
71,250.0,45243.350158691406,40569.06524658203,4674.285022735596
72,250.0,44081.624267578125,40504.253173828125,3577.3710594177246
73,250.0,44270.20037841797,40412.62219238281,3857.5781898498535
74,250.0,43963.209411621094,40320.604248046875,3642.605357170105
75,250.0,43664.84747314453,40230.943420410156,3433.9040813446045
76,250.0,43620.006591796875,40175.126953125,3444.879777908325
77,255.0,43226.983337402344,40068.62091064453,3158.362575531006
78,290.0,73188.7359008789,39990.15979003906,33198.57609939575
79,290.0,55225.561462402344,39909.96075439453,15315.600818634033
80,290.0,48877.61004638672,39829.67883300781,9047.931114196777
81,290.0,46577.782165527344,39787.57830810547,6790.20393371582
82,325.0,56856.573303222656,39696.576110839844,17159.997192382812
83,325.0,46333.9375,39623.69152832031,6710.2459354400635
84,325.0,45262.250549316406,39554.527587890625,5707.722923278809
85,325.0,44681.89190673828,39476.133850097656,5205.758296966553
86,360.0,56983.99920654297,39420.37384033203,17563.625385284424
87,395.0,63323.582275390625,39343.167724609375,23980.414695739746
88,395.0,48438.11260986328,39282.32696533203,9155.785623550415
89,395.0,46143.25567626953,39199.0625,6944.193103790283
90,395.0,45148.05059814453,39130.77264404297,6017.277561187744
91,395.0,44217.400939941406,39058.84588623047,5158.554969787598
92,395.0,44270.491271972656,38980.20422363281,5290.287086486816
93,395.0,43195.758544921875,38913.88427734375,4281.87433052063
94,400.0,43420.74230957031,38822.4541015625,4598.288108825684
95,400.0,42817.15319824219,38747.124267578125,4070.028988838196
96,400.0,42499.511779785156,38666.60205078125,3832.9098014831543
97,400.0,42763.02062988281,38564.42980957031,4198.5909633636475
98,400.0,42761.52648925781,38479.63104248047,4281.895444869995
99,400.0,42730.09094238281,38388.14025878906,4341.950602531433
100,400.0,42429.43865966797,38311.26843261719,4118.170136451721
101,400.0,42622.82238769531,38241.10272216797,4381.719611167908
102,400.0,42354.17565917969,38136.23278808594,4217.942662239075
103,400.0,41996.44940185547,38047.53479003906,3948.914595603943
104,400.0,41165.97705078125,37955.99609375,3209.9809741973877
105,400.0,41254.453063964844,37899.84356689453,3354.6093349456787
106,400.0,40982.66845703125,37810.40393066406,3172.2645082473755
107,400.0,40930.88098144531,37700.042724609375,3230.83828830719
108,400.0,40886.996643066406,37632.969299316406,3254.027276992798
109,400.0,40347.51257324219,37516.63024902344,2830.882308959961
110,400.0,40641.0224609375,37426.59118652344,3214.431405067444
111,400.0,40056.90106201172,37345.17010498047,2711.730772972107
112,400.0,40091.56896972656,37267.72979736328,2823.8391852378845
113,400.0,40166.357971191406,37158.08563232422,3008.272297859192
114,400.0,39785.82568359375,37076.15478515625,2709.6708908081055
115,400.0,39806.83380126953,36996.461364746094,2810.3728132247925
116,400.0,39517.739501953125,36892.75225830078,2624.9872341156006
117,400.0,39891.18994140625,36780.38342285156,3110.8065490722656
118,400.0,38938.87145996094,36684.416076660156,2254.4555592536926
119,400.0,39354.839782714844,36613.787658691406,2741.05216217041
120,400.0,39354.38818359375,36515.02227783203,2839.365891456604
121,395.0,39117.41711425781,36435.77795410156,2681.638795852661
122,395.0,38867.34631347656,36319.699157714844,2547.6472034454346
123,395.0,38589.92687988281,36242.37878417969,2347.54803276062
124,395.0,38769.032958984375,36168.903259277344,2600.129665374756
125,395.0,38735.18835449219,36049.67791748047,2685.5105204582214
126,430.0,51276.36474609375,35949.23681640625,15327.127725601196
127,430.0,43291.86297607422,35866.02551269531,7425.837472915649
128,430.0,43032.229553222656,35784.461853027344,7247.767557144165
129,430.0,39886.571716308594,35703.34014892578,4183.231748580933
130,430.0,39555.00183105469,35619.54620361328,3935.4553475379944
131,430.0,39092.820861816406,35530.40594482422,3562.414976119995
132,430.0,38806.00817871094,35435.15393066406,3370.854296684265
133,425.0,38644.16583251953,35331.88317871094,3312.282935142517
134,425.0,38199.08996582031,35279.20458984375,2919.885118484497
135,460.0,48484.6923828125,35175.75036621094,13308.941784858704
136,460.0,41281.06756591797,35079.618103027344,6201.449316978455
137,460.0,39705.9560546875,35019.9794921875,4685.976484298706
138,460.0,38769.309326171875,34914.28057861328,3855.028748512268
139,460.0,38765.795654296875,34813.68426513672,3952.111451625824
140,460.0,38684.49963378906,34742.38037109375,3942.1193714141846
141,460.0,37668.48645019531,34661.931213378906,3006.555335998535
142,460.0,37097.79736328125,34575.980407714844,2521.816891670227
143,460.0,37112.806884765625,34493.91143798828,2618.8956422805786
144,460.0,37081.67169189453,34399.841796875,2681.829933166504
145,460.0,37021.90643310547,34326.222412109375,2695.6840295791626
146,460.0,36825.427490234375,34226.34765625,2599.079945087433
147,460.0,36398.35888671875,34137.26104736328,2261.0979166030884
148,460.0,36076.308532714844,34042.67858886719,2033.6297221183777
149,460.0,36000.2578125,33974.559631347656,2025.698178768158
150,460.0,36255.20812988281,33885.00732421875,2370.2007508277893
151,460.0,35952.234802246094,33780.79119873047,2171.443334579468
152,455.0,35852.53747558594,33690.622985839844,2161.914741039276
153,455.0,35677.84130859375,33608.58953857422,2069.2518920898438
154,455.0,35404.24530029297,33526.47277832031,1877.7724452018738
155,455.0,35411.969787597656,33427.918518066406,1984.0513191223145
156,490.0,39729.60137939453,33331.131591796875,6398.469623565674
157,490.0,36393.69598388672,33260.46936035156,3133.2266149520874
158,490.0,35565.35510253906,33170.79089355469,2394.5640835762024
159,490.0,35524.89129638672,33071.913513183594,2452.97772359848
160,485.0,35562.474182128906,32993.26501464844,2569.209277153015
161,485.0,34804.29638671875,32921.111877441406,1883.1846075057983
162,485.0,34919.15185546875,32835.07098388672,2084.080967903137
163,485.0,34648.67510986328,32754.154418945312,1894.5205841064453
164,485.0,35009.08972167969,32692.515014648438,2316.574812889099
165,485.0,34405.40979003906,32602.896484375,1802.513334274292
166,480.0,34695.974609375,32483.909545898438,2212.065008163452
167,515.0,47641.90805053711,32443.356384277344,15198.551675319672
168,515.0,48750.907135009766,32361.448944091797,16389.458245754242
169,515.0,43608.07940673828,32242.850006103516,11365.229370117188
170,515.0,35755.229919433594,32198.19467163086,3557.035131454468
171,515.0,34816.57485961914,32163.22119140625,2653.3537287712097
172,515.0,35422.13995361328,32083.462890625,3338.6770391464233
173,515.0,34499.80563354492,32026.51986694336,2473.285807609558
174,515.0,35260.920318603516,31971.527465820312,3289.3928413391113
175,515.0,34524.93200683594,31903.335327148438,2621.5967030525208
176,515.0,34830.49658203125,31851.4912109375,2979.005304336548
177,550.0,54980.99008178711,31789.673461914062,23191.31677341461
178,550.0,42434.88555908203,31748.56460571289,10686.320940971375
179,555.0,36400.164001464844,31717.707550048828,4682.456414222717
180,555.0,36493.41473388672,31637.70703125,4855.7078285217285
181,555.0,34890.43731689453,31620.622802734375,3269.8144664764404
182,555.0,35718.30978393555,31554.268432617188,4164.041547298431
183,555.0,34250.945861816406,31468.553253173828,2782.3925647735596
184,555.0,33919.2331237793,31434.881774902344,2484.351282119751
185,555.0,34499.797912597656,31396.582885742188,3103.215063095093
186,555.0,34492.178771972656,31342.23760986328,3149.9410462379456
187,555.0,33933.14324951172,31270.74380493164,2662.3994703292847
188,555.0,33612.05941772461,31220.087036132812,2391.9723954200745
189,555.0,33928.0383605957,31175.421600341797,2752.6167011260986
190,555.0,33668.96032714844,31121.09310913086,2547.867245197296
191,555.0,33176.14572143555,31052.680877685547,2123.4648818969727
192,555.0,33645.47964477539,31026.277069091797,2619.202655315399
193,555.0,33300.63522338867,30948.45574951172,2352.179491043091
194,555.0,33318.7666015625,30894.11328125,2424.6534490585327
195,550.0,33204.88946533203,30833.67742919922,2371.212040424347
196,550.0,33190.33834838867,30774.021514892578,2416.3168272972107
197,550.0,32917.877380371094,30719.069274902344,2198.808054447174
198,550.0,32952.7184753418,30649.152404785156,2303.5661067962646
199,550.0,32984.18771362305,30608.613342285156,2375.5744075775146
200,550.0,32358.44906616211,30544.369873046875,1814.0791783332825
201,550.0,32129.953887939453,30488.690490722656,1641.2635023593903
202,550.0,32166.837371826172,30433.576782226562,1733.2605967521667
203,550.0,32239.781494140625,30392.574249267578,1847.2073411941528
204,550.0,32172.14584350586,30302.74349975586,1869.4023776054382
205,550.0,31928.079711914062,30246.225952148438,1681.8536682128906
206,550.0,32028.470733642578,30189.983032226562,1838.487697839737
207,550.0,32106.055908203125,30131.770904541016,1974.2849597930908
208,550.0,31889.337371826172,30057.00067138672,1832.3367149829865
209,550.0,32123.407135009766,30009.196533203125,2114.2105827331543
210,550.0,31640.910766601562,29946.473907470703,1694.436909198761
211,550.0,31510.464599609375,29910.372528076172,1600.092086315155
212,550.0,31558.955444335938,29833.989990234375,1724.9653613567352
213,550.0,31551.073120117188,29760.066986083984,1791.0062501430511
214,550.0,31658.082794189453,29696.80142211914,1961.2813997268677
215,550.0,31336.665985107422,29641.544311523438,1695.1216101646423
216,550.0,31076.307830810547,29584.311889648438,1491.9959750175476
217,550.0,31416.830322265625,29534.343872070312,1882.4865651130676
218,550.0,31281.396026611328,29466.311920166016,1815.0839576721191
219,550.0,30687.85678100586,29422.642150878906,1265.2146182060242
220,550.0,31051.423126220703,29349.116790771484,1702.306441783905
221,550.0,30840.040069580078,29301.879638671875,1538.1604237556458
222,550.0,30615.817291259766,29220.148681640625,1395.6685886383057
223,545.0,30585.982330322266,29166.729125976562,1419.2532386779785
224,545.0,30321.161834716797,29086.920959472656,1234.240889787674
225,545.0,30690.64926147461,29050.58172607422,1640.0676445960999
226,545.0,30378.856048583984,28982.300354003906,1396.5557808876038
227,545.0,30302.310577392578,28928.256469726562,1374.0541334152222
228,580.0,47123.19854736328,28841.667999267578,18281.530516147614
229,580.0,42996.365234375,28818.44940185547,14177.915792942047
230,580.0,41570.965911865234,28733.320831298828,12837.645112037659
231,580.0,46250.67459106445,28660.1484375,17590.526095867157
232,580.0,39654.82891845703,28639.395385742188,11015.433556556702
233,580.0,37948.642486572266,28546.678009033203,9401.964447498322
234,580.0,38907.518127441406,28509.326293945312,10398.191806316376
235,580.0,41462.91665649414,28455.873321533203,13007.043231964111
236,580.0,42209.485107421875,28386.9970703125,13822.488056182861
237,580.0,40300.824462890625,28326.05160522461,11974.772894382477
